# binned_wavs, depths, errs
2.872842699999999638e+00 4.483076078411036419e-02 3.888657775571706800e-04
2.893120149999999668e+00 4.404307901578506657e-02 3.241179905152038890e-04
2.913397599999999699e+00 4.392457267908798924e-02 3.009786521223534899e-04
2.933675000000000033e+00 4.440993513036679829e-02 2.832665483098173172e-04
2.953952400000000367e+00 4.450653020041187014e-02 2.835492835586381774e-04
2.974229849999999953e+00 4.377012322236779190e-02 2.758081858966368420e-04
2.994507299999999983e+00 4.436161759165668794e-02 2.805534789765602461e-04
3.014784699999999873e+00 4.435818783140552807e-02 2.720193742233258018e-04
3.035062149999999903e+00 4.409322681319202686e-02 2.627819331698264221e-04
3.055339599999999933e+00 4.427952340462851938e-02 2.650668328800308933e-04
3.075617000000000267e+00 4.473469688633286562e-02 2.557237689104088860e-04
3.095894399999999713e+00 4.405096760510032738e-02 2.639362381697024813e-04
3.116171849999999743e+00 4.463144607416472120e-02 2.676157961900355237e-04
3.136449299999999774e+00 4.454188534412607814e-02 2.532666361273443602e-04
3.156726700000000108e+00 4.454744795717258815e-02 2.589834298938885099e-04
3.177004150000000138e+00 4.445646827703067516e-02 2.597437090843884248e-04
3.197281600000000168e+00 4.438330288064509799e-02 2.705881637891953059e-04
3.217558999999999614e+00 4.423485217659675617e-02 2.666317337195480384e-04
3.237836399999999948e+00 4.448149307871446245e-02 2.709566254848058621e-04
3.258113849999999978e+00 4.453126964125815601e-02 2.554341165074015124e-04
3.278391300000000008e+00 4.460372260212253775e-02 2.580457480844095095e-04
3.298668700000000342e+00 4.449067864298633657e-02 2.489427110681838155e-04
3.318946149999999928e+00 4.378978212680881971e-02 2.630409851953558809e-04
3.339223599999999958e+00 4.427508548432482205e-02 2.568251057101767995e-04
3.359500999999999848e+00 4.380294413370601492e-02 2.637894071816865391e-04
3.379778400000000183e+00 4.401354248745598108e-02 2.611248564580644646e-04
3.400055850000000213e+00 4.481819678869409379e-02 2.528878857047318668e-04
3.420333300000000243e+00 4.394373583735391997e-02 2.629522698938878368e-04
3.440610699999999689e+00 4.430307827126359066e-02 2.587931336982256681e-04
3.460888149999999719e+00 4.365545328127697078e-02 2.666181143807109448e-04
3.481165599999999749e+00 4.406935562495176151e-02 2.649479437924583255e-04
3.501443000000000083e+00 4.397818461124274741e-02 2.655339276223782504e-04
3.521720399999999973e+00 4.415961907593733693e-02 2.529849661290511529e-04
3.541997850000000003e+00 4.409840904917841642e-02 2.725338028352647271e-04
3.562275300000000033e+00 4.440290252824737743e-02 2.678024957103811990e-04
3.582552699999999923e+00 4.419330657837408638e-02 2.725126480438373245e-04
3.602830149999999954e+00 4.424805384577706197e-02 2.696414036780542972e-04
3.623107599999999984e+00 4.397740328403572374e-02 2.709582829413289119e-04
3.643385000000000318e+00 4.373854177616906536e-02 2.800088728146904698e-04
3.663662399999999764e+00 4.425592082850867554e-02 2.722878156046731174e-04
3.683939849999999794e+00 4.412478890410240912e-02 2.865943732684553573e-04
3.704217299999999824e+00 4.401866503840280026e-02 2.779580662492973594e-04
3.829781800000000125e+00 4.400622228314797491e-02 3.133656414009819337e-04
3.849509399999999637e+00 4.407097164457879357e-02 2.879688495451394686e-04
3.869237000000000037e+00 4.416773718500500989e-02 2.857496834086429541e-04
3.888964599999999994e+00 4.393194606453750678e-02 2.817313968862330967e-04
3.908692199999999950e+00 4.378737738432061238e-02 2.925898108216138977e-04
3.928419850000000046e+00 4.382582031094427177e-02 2.826246989648054510e-04
3.948147500000000143e+00 4.398481303263228337e-02 2.902671455636670001e-04
3.967875099999999655e+00 4.355577357140019701e-02 3.008430352193133253e-04
3.987602700000000056e+00 4.356896984441444021e-02 3.061703265563330586e-04
4.007330299999999568e+00 4.394428996050627617e-02 3.111332849731689816e-04
4.027057899999999968e+00 4.449815435468983810e-02 2.966303391742560478e-04
4.046785500000000368e+00 4.440864488274874622e-02 3.151656223292152422e-04
4.066513099999999881e+00 4.424639974228396222e-02 3.221764978200082792e-04
4.086240699999999393e+00 4.446084818413658518e-02 3.182066332836750886e-04
4.105968300000000681e+00 4.399089186601692902e-02 3.208296045705112893e-04
4.125695900000000194e+00 4.428220718350979468e-02 3.351737684095192527e-04
4.145423550000000290e+00 4.422122337593688279e-02 3.381764358352346922e-04
4.165151200000000387e+00 4.430128900675645021e-02 3.439742794010111539e-04
4.184878799999999899e+00 4.446604761230241870e-02 3.426166396546661630e-04
4.204606399999999411e+00 4.424938256528671704e-02 3.533867979515797788e-04
4.224333999999999811e+00 4.460330266155279610e-02 3.367974110024131006e-04
4.244061600000000212e+00 4.367266784426501042e-02 3.519491289224204833e-04
4.263789199999999724e+00 4.349739246257654235e-02 3.640767035225722995e-04
4.283516800000000124e+00 4.355117736589601829e-02 3.672574629682565702e-04
4.303244400000000525e+00 4.464046221653358848e-02 3.993074159159311484e-04
4.322972000000000037e+00 4.448816608255357075e-02 3.681471559724562343e-04
4.342699650000000133e+00 4.460584092546159007e-02 3.674143380146431201e-04
4.362427300000000230e+00 4.410662558210165507e-02 4.099187982626527576e-04
4.382154899999999742e+00 4.433895468205453771e-02 3.995931458715751348e-04
4.401882500000000142e+00 4.402477745290506173e-02 4.196947187818788759e-04
4.421610100000000543e+00 4.392160969605336807e-02 4.429860509478647187e-04
4.441337700000000055e+00 4.378152084889194717e-02 4.228635013201373057e-04
4.461065299999999567e+00 4.427115041515278931e-02 4.217556494002954771e-04
