# time, flux, model, err
8.400289523706305772e-03 9.997794630457267351e-01 1.000000000000000000e+00 1.534523195430139775e-04
8.442290971288457513e-03 9.999530062743415826e-01 9.999999909855281643e-01 1.534523195430139775e-04
8.484292418870609254e-03 9.999119362250853404e-01 9.999999819710562177e-01 1.534945188269961811e-04
8.526293866452760994e-03 1.000092757749118544e+00 9.999999729565846041e-01 1.534523195430139775e-04
8.568295314034912735e-03 9.998845820795603245e-01 9.999999639421128794e-01 1.534523195430139775e-04
8.610296754341106862e-03 1.000024788850527813e+00 9.999999549276423760e-01 1.534523195430139775e-04
8.652298216475173831e-03 9.996487349567607650e-01 9.999999459131676538e-01 1.534523195430139775e-04
8.694299656781367958e-03 1.000117601310877902e+00 9.999999368986974835e-01 1.534523195430139775e-04
8.736301111639477313e-03 9.998979642650080990e-01 9.999999278842240935e-01 1.534523195430139775e-04
8.778302551945671439e-03 1.000150129580327008e+00 9.999999188697540342e-01 1.534523195430139775e-04
8.820304006803780794e-03 1.000194349723203979e+00 9.999999098552805332e-01 1.534557658761192926e-04
8.862305447109974921e-03 9.999815012890790333e-01 9.999999008408102519e-01 1.534523195430139775e-04
8.904306894692126662e-03 1.000110590621738238e+00 9.999998918263386383e-01 1.534523195430139775e-04
8.946308342274278402e-03 1.000087608194916378e+00 9.999998828118669136e-01 1.534523195430139775e-04
8.988309789856430143e-03 9.998921520223852388e-01 9.999998737973950780e-01 1.534523195430139775e-04
9.030311237438581884e-03 9.999701297067451478e-01 9.999998647829231313e-01 1.534523195430139775e-04
9.072312677744776011e-03 1.000065568509396430e+00 9.999998557684530720e-01 1.534523195430139775e-04
9.114314139878842980e-03 9.998749341337822560e-01 9.999998467539781277e-01 1.534523195430139775e-04
9.156315580185037106e-03 9.998108775460595732e-01 9.999998377395079574e-01 1.534523195430139775e-04
9.198317035043146461e-03 1.000214425526187556e+00 9.999998287250345674e-01 1.534602932139856007e-04
9.240318475349340588e-03 9.999638174902604204e-01 9.999998197105643971e-01 1.534526946262077299e-04
9.282319922931492329e-03 9.999833227448426953e-01 9.999998106960927835e-01 1.534530413605765130e-04
9.324321370513644069e-03 1.000074528780987571e+00 9.999998016816209478e-01 1.534537201141793151e-04
9.366322818095795810e-03 9.999933191604979399e-01 9.999997926671490012e-01 1.534523323103959100e-04
9.408324265677947551e-03 1.000140541990229615e+00 9.999997836526773876e-01 1.534541015701511052e-04
9.450325705984141678e-03 1.000061757615465563e+00 9.999997746382071062e-01 1.534523195430139775e-04
9.492327160842251033e-03 9.998124318603770488e-01 9.999997656237338273e-01 1.534523195430139775e-04
9.534328601148445159e-03 9.999337416276102841e-01 9.999997566092635459e-01 1.534523195430139775e-04
9.576330056006554514e-03 9.999080510582177839e-01 9.999997475947901560e-01 1.534523195430139775e-04
9.618331503588706255e-03 1.000153888504963895e+00 9.999997385803184313e-01 1.534523195430139775e-04
9.660332958446815610e-03 9.999871371608504145e-01 9.999997295658450414e-01 1.534523195430139775e-04
9.702334398753009737e-03 9.999071394356164877e-01 9.999997205513748710e-01 1.534523195430139775e-04
9.744335846335161477e-03 1.000034254317603732e+00 9.999997115369030354e-01 1.534523195430139775e-04
9.786337293917313218e-03 9.998590057953019583e-01 9.999997025224314218e-01 1.534821864510024292e-04
9.828338741499464959e-03 1.000006890743138532e+00 9.999996935079596971e-01 1.534523195430139775e-04
9.870340189081616700e-03 1.000299755448482042e+00 9.999996844934878615e-01 1.534643649193560919e-04
9.912341629387810826e-03 1.000061102693196480e+00 9.999996754790176912e-01 1.534523336835744991e-04
9.954343084245920181e-03 9.998930037333734200e-01 9.999996664645443012e-01 1.534523195430139775e-04
9.996344524552114308e-03 9.999132353683430896e-01 9.999996574500740198e-01 1.534842599249527462e-04
1.003834597941022366e-02 9.999439289099792960e-01 9.999996484356007409e-01 1.534538868527357894e-04
1.008034741971641779e-02 1.000019001578213773e+00 9.999996394211304596e-01 1.534523195430139775e-04
1.012234887457452714e-02 1.000062222922680322e+00 9.999996304066572916e-01 1.534523195430139775e-04
1.016435032215667889e-02 9.999931471193543864e-01 9.999996213921855670e-01 1.534530249439409653e-04
1.020635176973883063e-02 1.000076217305421400e+00 9.999996123777137313e-01 1.535819613295363937e-04
1.024835321732098237e-02 9.998468715858807032e-01 9.999996033632417847e-01 1.534523195430139775e-04
1.029035465762717649e-02 9.998758374811389515e-01 9.999995943487717254e-01 1.534807608166524097e-04
1.033235611248528585e-02 9.998609702982230729e-01 9.999995853342983354e-01 1.534523195430139775e-04
1.037435755279147997e-02 1.000121620447754545e+00 9.999995763198279430e-01 1.534523195430139775e-04
1.041635900764958933e-02 9.999568395135262078e-01 9.999995673053547751e-01 1.534523195430139775e-04
1.045836044795578346e-02 9.999403280865070132e-01 9.999995582908846048e-01 1.534523195430139775e-04
1.050036190281389281e-02 9.999985488951051993e-01 9.999995492764112148e-01 1.534523195430139775e-04
1.054236334312008694e-02 1.000438217745108327e+00 9.999995402619409335e-01 1.534523195430139775e-04
1.058436479070223868e-02 1.000065250415964613e+00 9.999995312474692089e-01 1.534523195430139775e-04
