,pl_name,ra,dec
0,L 168-9 b,350.0285917,-60.0657292
24,GJ 1214 b,258.8313991,4.9606795
44,L 98-59 d,124.5328604,-68.3144658
45,LP 791-18 c,165.6904843,-16.4064445
96,TOI-421 b,81.8532824,-14.2767404
130,TOI-178 d,7.3020115,-30.4541159
132,TOI-178 g,7.3020115,-30.4541159
133,LHS 1140 b,11.248632,-15.2741085
137,K2-18 b,172.560141,7.5878315
152,TOI-260 b,4.7730178,-9.9661505
154,TOI-776 c,178.577997,-37.5533568
156,TOI-776 b,178.577997,-37.5533568
159,TOI-836 c,225.0798831,-24.4542022
160,TOI-836 b,225.0798831,-24.4542022
167,HD 15337 b,36.8678846,-27.6361171
168,HD 15337 c,36.8678846,-27.6361171
189,TOI-270 d,68.4160804,-51.9573937
218,K2-22 b,169.4827046,2.6190363
222,TOI-1130 b,286.3760037,-41.4376399
228,LTT 3780 c,154.6449033,-11.717801
231,TOI-1468 c,16.6538724,19.2249195
265,GJ 9827 d,351.7717763,-1.2853435
268,GJ 3090 b,20.4384281,-46.7147234
280,TOI-125 b,23.5934253,-66.6763495
281,TOI-125 c,23.5934253,-66.6763495
304,AU Mic b,311.2911369,-31.34245
321,TOI-4010 b,20.2148196,66.0722009
333,TOI-451 c,62.966385,-37.93973
336,TOI-2076 b,217.3920159,39.7903991
338,TOI-2076 c,217.3920159,39.7903991
340,TOI-2076 d,217.3920159,39.7903991
371,K2-384 f,20.4998403,0.7509701
